,,,,,,,,nr,Diam / mm, ,,,,,,,,,,0,0,0,0
1,5,2.78152867692508,0,1,5,2.22646360570491,0,1,0.199999999999999,4.3,2.62483522012497,1,3.3,3.47448968867009,0,1,4.09999999999999,1.78216583,0,,,,
2,5,2.76605487337181,2.78152867692508,2,5,2.21654932532067,2.22646360570491,2,0.399999999999999,4.26813205187278,6.92483522012497,2,3.4,3.45034553145488,3.47448968867009,2,4.04999999999999,1.77581431414794,1.78117088456393,,,,
3,5,2.75066715147515,5.54758355029689,3,5,2.20667919250538,4.44301293102558,3,0.599999999999999,4.23847387221291,11.1929672719978,3,3.5,3.42636915149039,6.92483522012497,3,3.99999999999999,1.76948543465942,3.55698519871187,,,,
4,5,2.7353650323579,8.29825070177204,4,5,2.19685301067312,6.64969212353095,4,0.799999999999999,4.20902012685512,15.4314411442107,4,3.6,3.40255938289598,10.3512043716154,4,3.94999999999999,1.76317911086001,5.32647063337129,,,,
5,5,2.72014803980689,11.0336157341299,5,5,2.18707058411336,8.84654513420407,5,0.949999999999999,4.17977081579942,19.6404612710658,5,3.7,3.37891506789265,13.7537637545113,5,3.89999999999999,1.75689526236279,7.08964974423131,,,,
6,5,2.70501570025816,13.7537637739368,6,5,2.17733171798707,11.0336157183174,6,1.1,4.12188298050769,23.8202320868652,6,3.8,3.35543505674682,17.132678822404,6,3.84999999999999,1.75063380906734,8.8465450065941,,,,
7,5,2.68996754278218,16.458779474195,7,5,2.1676362183228,13.2109474363045,7,1.25,4.09324104898187,27.9421150673729,7,3.9,3.33211820771437,20.4881138791508,7,3.79999999999999,1.74439467115869,10.5971788156614,,,,
8,5,2.67500309906928,19.1487470169772,8,5,2.15798389201286,15.3785836546273,8,1.4,4.06479654674366,32.0353561163547,8,4,3.30896338698514,23.8202320868652,8,3.74999999999999,1.73817776910637,12.3415734868201,,,,
9,5,2.66012190341497,21.8237501160465,9,5,2.14837454680943,17.5365675466402,9,1.55,4.03654947379305,36.1001526630984,9,4.1,3.28596946862779,27.1291954738503,9,3.69999999999999,1.73198302366331,14.0797512559265,,,,
10,5,2.64532349270555,24.4838720194614,10,5,2.13880799132078,19.6849420934496,10,1.7,3.98064518588266,40.1367021368915,10,4.15,3.26313533453506,30.4151649424781,10,3.64999999999999,1.72581035586488,15.8117342795898,,,,
11,5,2.6306074064036,27.129195512167,11,5,2.12928403500743,21.8237500847704,11,1.8,3.95298468038511,44.1173473227741,11,4.2,3.24045987436937,33.6783002770132,11,3.59999999999999,1.7196596870279,17.5375446354547,,,,
12,5,2.61597318653373,29.7598029185706,12,5,2.11980248817834,23.9530341197778,12,1.9,3.92551483919,48.0703320031592,12,4.25,3.21794198550889,36.9187601513826,12,3.54999999999999,1.71353093874957,19.2572043224826,,,,
13,5,2.60142037766829,32.3757761051043,13,5,2.11036316198718,26.0728366079562,13,2,3.89823566229735,51.9958468423492,13,4.3,3.19558057299387,40.1367021368915,13,3.5,1.70742403290655,20.9707352612322,,,,
14,5,2.58694852691318,34.9771964827726,14,5,2.1009658684285,28.1831997699433,14,2.1,3.84424695480783,55.8940825046466,14,4.35,3.1733745494734,43.3322827098853,14,3.45,1.7013388916539,22.6781592941387,,,,
15,5,2.57255718389381,37.5641450096858,15,5,2.09161042033407,30.2841656383718,15,2.2,3.81753424642464,59.7383294594544,15,4.4,3.15132283515257,46.5056572593587,15,3.4,1.69527543742413,24.3794981857926,,,,
16,5,2.558245900741,40.1367021935796,16,5,2.08229663136907,32.3757760587059,16,2.3,3.79100566916338,63.555863705879,16,4.45,3.12942435773993,49.6569800945113,16,3.35,1.68923359292619,26.0747736232167,,,,
17,5,2.54401423207714,42.6949480943206,17,5,2.07302431602844,34.458072690075,17,2.4,3.76466122302405,67.3468693750424,17,4.5,3.10767805239536,52.7864044522512,17,3.3,1.68321328114449,27.7640072161429,,,,
18,5,2.52986173500226,45.2389623263977,18,5,2.06379328963313,36.5310970061034,18,2.5,3.71252245790711,71.1115305980665,18,4.55,3.0860828616783,55.8940825046466,18,3.25,1.67721442533791,29.4472204972874,,,,
19,5,2.51578796908027,47.7688240614,19,5,2.05460336832649,38.5948902957365,19,2.6,3.68672507003116,74.8240530559736,19,4.6,3.06463773549632,58.9801653663249,19,3.2,1.67123694903884,31.1244349226253,,,,
20,5,2.50179249632524,50.2846120304803,20,5,2.04545436907054,40.649493664063,20,2.7,3.6611055039584,78.5107781260047,20,4.65,3.04334163105406,62.0448031018212,20,3.15,1.66528077605219,32.7956718716641,,,,
21,5,2.48787488118781,52.7864045268055,21,5,2.03634610964237,42.6949480331336,21,2.8,3.6356637596888,82.1718836299631,21,4.7,3.02219351280251,65.0881447328753,21,3.1,1.65934583045444,34.4609526477163,,,,
22,5,2.47403469054158,55.2742794079933,22,5,2.0272784086305,44.7312941427759,22,2.9,3.58531154800737,85.8075473896519,22,4.75,3.0011923523887,68.1103382456778,22,3.05,1.65343203659263,36.1202984781708,,,,
23,5,2.46027149366966,57.7483140985349,23,5,2.01825108543124,46.7585725514064,23,3,3.56039811685409,89.3928589376593,23,4.8,2.98033712860564,71.1115305980665,23,3,1.64753931908344,37.7737305147634,,,,
24,5,2.44658486225127,60.2085855922046,24,5,2.00926396024515,48.7768236368377,24,3.1,3.53565641437631,92.9532570545134,24,4.85,2.95962682734269,74.0918677266721,24,2.95,1.64166760281221,39.4212698338469,,,,
25,5,2.43297437034841,62.6551704544558,25,5,2.00031685407338,50.7860875970828,25,3.2,3.51108653111031,96.4889134688897,25,4.9,2.93906044153624,77.0514945540148,25,2.9,1.63581681293197,41.0629374366591,,,,
26,5,2.41943959439257,65.0881448248042,26,5,1.99140958871419,52.7864044511562,,,,,26,4.95,2.91863697112076,79.990554995551,26,2.85,1.62998687486252,42.698754249591,,,,
27,5,2.40598011317162,67.5075844191968,27,5,1.98254198675933,54.7778140398704,,,,,27,5,2.89835542298014,82.9091919666718,27,2.8,1.62417771428943,44.3287411244536,,,,
28,5,2.3925955078166,69.9135645323684,28,5,1.97371387159055,56.7603560266297,,,,,28,5,2.87821481089941,85.8075473896519,28,2.75,1.61838925716315,45.952918838743,,,,
29,5,2.37928536178881,72.306160040185,29,5,1.96492506737606,58.7340698982203,,,,,29,5,2.85821415551681,88.6857622005513,29,2.7,1.61262142969803,47.5713080959061,,,,
30,5,2.36604926086671,74.6854454019738,30,5,1.95617539906706,60.6989949655963,,,,,30,5,2.83835248427612,91.5439763560681,30,2.65,1.60687415837138,49.1839295256042,,,,
31,5,2.35288679313315,77.0514946628405,31,5,1.9474646923942,62.6551703646634,,,,,31,5,2.81862883137941,94.3823288403443,31,2.6,1.60114736992254,50.7908036839756,,,,
32,5,2.33979754896247,79.4043814559737,32,5,1.93879277386414,64.6026350570576,,,,,32,5,2.79904223774004,97.2009576717237,32,2.55,1.59544099135196,52.3919510538981,,,,
33,5,2.32678112100779,81.7441790049362,33,5,1.93015947075613,66.5414278309217,,,,,,,,,33,2.5,1.58975494992023,53.9873920452501,,,,
34,5,2.31383710418833,84.0709601259439,34,4.95,1.92156461111848,68.4715873016779,,,,,,,,,34,2.45,1.58408917314719,55.5771469951703,,,,
35,5,2.30096509567679,86.3847972301323,35,4.9,1.91300802376522,70.3931519127963,,,,,,,,,35,2.4,1.57844358881102,57.1612361683175,,,,
36,5,2.28816469488682,88.6857623258091,36,4.85,1.90448953827266,72.3061599365616,,,,,,,,,36,2.35,1.57281812494724,58.7396797571285,,,,
37,5,2.27543550346057,90.9739270206959,37,4.8,1.89600898497599,74.2106494748342,,,,,,,,,37,2.3,1.56721270984791,60.3124978820757,,,,
38,5,2.26277712525625,93.2493625241565,38,4.75,1.88756619496589,76.1066584598102,,,,,,,,,38,2.25,1.56162727206059,61.8797105919237,,,,
39,5,2.25018916633585,95.5121396494127,39,4.7,1.87916100008521,77.9942246547761,,,,,,,,,39,2.2,1.55606174038754,63.4413378639842,,,,
40,5,2.23767123495286,97.7623288157485,40,4.65,1.87079323292556,79.8733856548613,,,,,,,,,40,2.15,1.55051604388473,64.9973996043718,,,,
,,,,41,4.6,1.86246272682403,81.7441788877869,,,,,,,,,41,2.1,1.54499011186099,66.5479156482565,,,,
,,,,42,4.55,1.85416931585984,83.6066416146109,,,,,,,,,42,2.05,1.53948387387709,68.0929057601175,,,,
,,,,43,4.5,1.84591283485104,85.4608109304707,,,,,,,,,43,2,1.53399725974483,69.6323896339946,,,,
,,,,44,4.45,1.83769311935122,87.3067237653217,,,,,,,,,44,1.95,1.52853019952615,71.1663868937394,,,,
,,,,45,4.4,1.82951000564627,89.144416884673,,,,,,,,,45,1.9,1.52308262353226,72.6949170932656,,,,
,,,,46,4.35,1.82136333075103,90.9739268903192,,,,,,,,,46,1.8,1.51765446232272,74.2179997167978,,,,
,,,,47,4.3,1.81325293240616,92.7952902210703,,,,,,,,,47,1.7,1.5122456467046,75.7356541791205,,,,
,,,,48,4.25,1.8051786490748,94.6085431534764,,,,,,,,,48,1.6,1.50685610773153,77.2478998258251,,,,
,,,,49,4.2,1.79714031993943,96.4137218025512,,,,,,,,,49,1.5,1.5014857767029,78.7547559335567,,,,
,,,,50,4.15,1.78913778489864,98.2108621224907,,,,,,,,,50,1.4,1.4961345851629,80.2562417102596,,,,
,,,,,,,,,,,,,,,,51,1.3,1.49080246489973,81.7523762954225,,,,
,,,,,,,,,,,,,,,,52,1.2,1.48548934794467,83.2431787603222,,,,
,,,,,,,,,,,,,,,,53,1.1,1.48019516657125,84.7286681082669,,,,
,,,,,,,,,,,,,,,,54,1,1.47491985329436,86.2088632748381,,,,
,,,,,,,,,,,,,,,,55,0.9,1.46966334086941,87.6837831281325,,,,
,,,,,,,,,,,,,,,,56,0.8,1.46442556229146,89.1534464690019,,,,
,,,,,,,,,,,,,,,,57,0.7,1.45920645079439,90.6178720312933,,,,
,,,,,,,,,,,,,,,,58,0.6,1.45400593984999,92.0770784820877,,,,
,,,,,,,,,,,,,,,,59,0.5,1.44882396316719,93.5310844219377,,,,
,,,,,,,,,,,,,,,,60,0.4,1.44366045469116,94.9799083851049,,,,
,,,,,,,,,,,,,,,,61,0.3,1.43851534860248,96.4235688397961,,,,
,,,,,,,,,,,,,,,,62,0.2,1.43338857931633,97.8620841883985,,,,
,,,,,,,,,,,,,,,,63,0.1,1.4282800814816,99.2954727677149,,,,
